"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large","gr6.4xlarge","128.0 GiB","16 vCPUs","1","600 GB                 NVMe SSD","Up to 25 Gigabit","$1.5392 hourly","$1.0020 hourly","$0.5584 hourly","$2.2752 hourly","$1.7380 hourly"
"I7IE 3xlarge","i7ie.3xlarge","96.0 GiB","12 vCPUs","0","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.5594 hourly","unavailable","$0.4030 hourly","$2.1114 hourly","unavailable"
"R6IDN Quadruple Extra Large","r6idn.4xlarge","128.0 GiB","16 vCPUs","0","950 GB                 NVMe SSD","Up to 50 Gigabit","$1.5631 hourly","$0.9848 hourly","$0.5670 hourly","$2.2991 hourly","$1.7208 hourly"
"X8G Quadruple Extra Large","x8g.4xlarge","256.0 GiB","16 vCPUs","0","EBS only","Up to 15 Gigabit","$1.5632 hourly","$0.9633 hourly","$0.4631 hourly","unavailable","unavailable"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","0","EBS only","10 Gigabit","$1.5910 hourly","$1.0080 hourly","$0.5042 hourly","$3.0910 hourly","$2.6640 hourly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.6128 hourly","$1.0669 hourly","$0.6875 hourly","$3.0848 hourly","$2.5389 hourly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","12.5 Gigabit","$1.6128 hourly","$1.0164 hourly","$0.5456 hourly","$3.0848 hourly","$2.4884 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","12 Gigabit","$1.6128 hourly","$1.0161 hourly","$0.1613 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","1","600 GB                 NVMe SSD","Up to 25 Gigabit","$1.6240 hourly","$1.0231 hourly","$0.6517 hourly","$2.3600 hourly","$1.7591 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","20 Gigabit","$1.6320 hourly","$1.0282 hourly","$0.3162 hourly","unavailable","unavailable"
"C7A Eight Extra Large","c7a.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.6422 hourly","$1.0863 hourly","$0.5644 hourly","$3.1142 hourly","$2.5583 hourly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.6480 hourly","$1.0380 hourly","$0.6837 hourly","$3.1200 hourly","$2.5100 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","0","470 GB                 NVMe SSD","Up to 10 Gigabit","$1.6500 hourly","unavailable","$0.3196 hourly","unavailable","unavailable"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","0","237 GB                 NVMe SSD","Up to 25 Gigabit","$1.6672 hourly","$1.0259 hourly","$0.4029 hourly","$2.0353 hourly","$1.3939 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","0","240 GB                 SSD","Up to 10 Gigabit","$1.6680 hourly","$1.0280 hourly","$0.3882 hourly","$2.0360 hourly","$1.3960 hourly"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","0","EBS only","Up to 25 Gigabit","$1.6680 hourly","$1.0269 hourly","$0.4355 hourly","$2.0360 hourly","$1.3949 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","0","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$1.6800 hourly","$1.1680 hourly","$0.5004 hourly","$3.0080 hourly","$2.6310 hourly"
"HPC7G Eight Extra Large","hpc7g.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable","unavailable","unavailable"
"HPC7G 16xlarge","hpc7g.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable","unavailable","unavailable"
"HPC7G Quadruple Extra Large","hpc7g.4xlarge","128.0 GiB","16 vCPUs","0","EBS only","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable","unavailable","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","0","1600 GB                 (2 * 800 GB SSD)","High","$1.7050 hourly","$0.8480 hourly","$0.1705 hourly","$1.9460 hourly","$1.1310 hourly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","15 Gigabit","$1.7086 hourly","$1.0764 hourly","$0.5348 hourly","unavailable","unavailable"
